image_url,top1_class,top1_confidence,top2_class,top2_confidence,top3_class,top3_confidence
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080010926626/dx1mhkw-TIS24I03Rh28Jg_null_bigImg_1766562015.jpg,VISIONTEK,23.44,EPPELTONE1,20.48,LT1,16.69
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080001629221/dFLuMhovT0uZ7ZFeYKeepc_null_bigImg_1766562014.jpg,GENUS1,35.33,GENUS5,22.98,LAN2,16.51
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080041180540/edPH7_W4SM2rfM5HTQPlvN_null_bigImg_1766562011.jpg,MT1,42.92,CAPITAL,38.88,LAN1,5.19
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080037445873/e65y9VmFQf65yhvIbyz2th_null_bigImg_1766562010.jpg,LT4,45.21,LAN1,16.99,GENUS5,8.35
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080005406097/cCJNLnWxTyKQ6U2FHuIKsP_null_bigImg_1766562005.jpg,LANDIS2,48.24,LANDIS1,31.95,EPPELTONE2,16.81
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080033141732/cE33IaFpRSedR7lnM-WUg0_null_bigImg_1766562003.jpg,EPPELTONE2,44.82,LT1,14.46,AEW,13.61
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080036413138/eotspDf-RvKHWwOTmbzrJG_null_bigImg_1766562003.jpg,CAPITAL,24.84,EPPELTONE2,15.91,LANDIS2,14.75
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080011614189/cwL1MJkqReiX2xrJLN8wIC_null_bigImg_1766562004.jpg,GENUS5,19.56,CAPITAL,19.25,AVON1,13.42
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080011614189/cwL1MJkqReiX2xrJLN8wIC_null_bigImg_1766561998.jpg,HPL3,42.4,AVON1,20.37,LANDIS3,8.57
https://mrdt.s3.ap-south-1.amazonaws.com/MeterReading/TPCODL/080005406097/cCJNLnWxTyKQ6U2FHuIKsP_null_bigImg_1766561996.jpg,LANDIS2,49.95,LANDIS1,43.36,EPPELTONE2,3.99
